id	Arch	Site	FDI notation of fully/partially visible teeth
1028	Lower	Left	36,37,38
1029	Lower	Right	36,37,38
1030	Lower	Right	46,47,48
1031	Lower	Left	34,35,36,38
1032	Lower	Left	36,37,38
1033	Upper	Left	23,24,25,27,28
1035	Upper	Left	24,25,26,28
1036	Lower	Left	35,36,37,38
1037	Lower	Right	45,46,47,48
1038	Upper	Right	14,15,16,17
1040	Lower	Right	47,48
1041	Lower	Right	45,46,47,48
1042	Lower	Left	35,36,37,38
1043	Upper	Left	24,25,26,27,28
1045	Lower	Right	34,35,36,37,38
1046	Upper	Left	14,15,16,17,18
1047	Upper	Left	24,25,28
1048	Lower	Left	35,36,37,38
1049	Upper	Anterior	13,12,11,21,22
1050	Upper	Left	21,22,23
1053	Lower	Right	44,45,46,47
1054	Upper	Right	14,15,16,17,18
1055	Upper	Right	14,15,16,17,18
1056	Lower	Right	44,45,46,48
1057	Upper	Anterior	11,21,22,23,24
1058	Lower	Right	46,47,48
1059	Upper	Anterior	12,11,21
1060	Lower	Left	35,36,37
1061	Lower	Left	37,38
1062	Upper	Right	13,14,15,17
1063	Upper	Right	15,16,17
1064	Upper	Anterior	11,21,23
1065	Lower	Right	46,47,48
1066	Lower	Left	35,36,37,38
1068	Lower	Right	45,46,47,48
1069	Lower	Left	33,34,35,36,37
1070	Upper	Right	11,12,13,14,15
1071	Upper	Right	18
1072	Lower	Right	45,46,47
1075	Upper	Anterior	12,11,21,22
1077	Upper	Right	23,24,25
1078	Lower	Right	45,46,47
1079	Upper	Left	27,28
1080	Lower	Right	45,46,47
1081	Upper	Right	23,24,25,26,27
1082	Upper	Left	24,25,26,27
1084	Lower	Left	35,36,37,38
1085	Upper	Right	24,25,26,27,28
1086	Lower	Right	45,46,47,48
1087	Lower	Left	35,36,37,38
1088	Upper	Right	15,16,17,18
1089	Lower	Left	35,37,38
1090	Lower	Left	34,35,36,37,38
1091	Lower	Left	35,36,37
1092	Lower	Right	43,44,45,46,47
1093	Lower	Left	34,35,36,37,38
1094	Lower	Left	33,34,35,37
1095	Upper	Right	14,15,16,17
1096	Lower	Left	35,37
1097	Lower	Left	35,36,37,38
1098	Lower	Left	34,35,36,37,38
1099	Lower	Left	35,36,37,38
1100	Lower	Left	35,36,37,38
1103	Upper	Right	13,14,15,16,17,18
1104	Upper	Left	24,25,26,27,28
1105	Lower	Left	34,35,36,37,38
1107	Upper	Left	23,24,25,26,27,28
1108	Lower	Anterior	44,43,42,41,31,32
1109	Lower	Left	35,36,37,38
1111	Lower	Left	35,36,37,38
1112	Upper	Right	12,13,14,15,16,17
1113	Lower	Left	34,35,36,37,38
1114	Lower	Left	33,34,35,36,37
1115	Upper	Right	13,14,15,16,17
1116	Lower	Right	45,46,47,48
1117	Upper	Anterior	13,12,11,21,22
1118	Upper	Left	24,25,26,27
1119	Upper	Left	24,25,26,27
1121	Upper	Right	13,14,15,16,17
1122	Upper	Left	23,24,25,26,27,28
1124	Upper	Left	23,25,26,27
1125	Lower	Left	35,36,37,38
1126	Upper	Anterior	12,11,21,22,23,24
1128	Lower	Right	44,45,46,47,48
1129	Lower	Left	34,35,36,37,38
1130	Lower	Left	34,35,36,37,38
1131	Upper	Anterior	11,21,22,23,24
1132	Lower	Right	45,46,47,48
1133	Lower	Right	45,46,47
1134	Lower	Right	45,46,47,48
1135	Upper	Right	14,15,16,17,18
1136	Upper	Right	13,14,15,17
1137	Lower	Left	35,36,37
1139	Upper	Right	14,15,16,17
1140	Upper	Left	23,24,25,26,27
1141	Lower	Right	45,46,47,48
1142	Upper	Left	23,24,25,26,27,28
1144	Lower	Right	45,46,47,48
1145	Lower	Left	34,35,37,38
1148	Lower	Left	32,33,34
1149	Lower	Right	44,45,46,47,48
1150	Upper	Right	13,14,15,16,17
1151	Lower	Anterior	43,42,41,31,33
1152	Lower	Right	42,43,44,45
1154	Upper	Right	14,15,16,17
1155	Lower	Right	45,46,47,48
1156	Upper	Anterior	13,12,11,21,22
1157	Upper	Left	24,25,26,27
1158	Lower	Anterior	43,42,32,33,34,35
1159	Lower	Anterior	42,41,31,32,33
1160	Lower	Right	44,45,46
1161	Lower	Right	46,47,48
1162	Lower	Right	45,46,47
1163	Lower	Anterior	43,42,41,31,32,33
1165	Upper	Anterior	13,12,11,21,22,23
1166	Lower	Right	44,45,46,47
1167	Upper	Left	23,24,25,28
1168	Lower	Left	33,34,35,37
1169	Lower	Left	35,37,38
1170	Upper	Left	24,25,27,28
1171	Lower	Right	44,45,48
1172	Lower	Right	43,44,45
1174	Lower	Right	42,43,44
1175	Lower	Left	38
1176	Lower	Anterior	43,42,41,31,32
1177	Upper	Left	24,25,27,28
1178	Upper	Right	13,14,15,16,17
1179	Lower	Right	13,14,15
1180	Upper	Right	14,18
1181	Lower	Left	33,34,35,36,37
1182	Lower	Anterior	43,42,41,31,32,33
1183	Lower	Anterior	43,42,41,31,32,33
1184	Lower	Right	43,44,45
1185	Lower	Left	34,35,37,38
1186	Lower	Anterior	42,41,31,32,33,34
1187	Upper	Anterior	42,41,31,32,33
1188	Lower	Anterior	43,42,41,31,32,33,34
1189	Upper	Right	17,18
1191	Lower	Anterior	43,42,41,31,32,33,34
1193	Upper	Right	23,24,25,26
1194	Upper	Right	14,15,17,18
1195	Lower	Anterior	44,43,42,41,31,32,33
1196	Upper	Anterior	12,11,21,22,23
1197	Lower	Right	45,46,47,48
1198	Lower	Right	46,47,48
1199	Lower	Anterior	42,41,31,32,33,34,35
1200	Upper	Anterior	14,13,12,11,21
1201	Lower	Anterior	43,42,41,31,32,33
1202	Upper	Left	25,26,27
1203	Lower	Anterior	44,43,42,41,31,32,33
1204	Lower	Left	37,38
1205	Lower	Left	35,36,37,38
1206	Upper	Anterior	12,11,21,22
1210	Lower	Right	43,44,45,46,47
1211	Lower	Right	45,46,47,48
1212	Lower	Left	34,35,36,37,38
1213	Lower	Anterior	41,32,31,33,34
1214	Upper	Anterior	13,12,11,21
1215	Lower	Anterior	42,41,31,32,33
1216	Lower	Anterior	42,41,31,32,33
1217	Lower	Right	46,47,48
1219	Lower	Anterior	42,41,31,32,33
1220	Lower	Anterior	43,42,41,31,32,33
1221	Lower	Left	37,38
1223	Upper	Anterior	12,11,21,22
1224	Lower	Left	41,31,32,33,34
1225	Lower	Anterior	42,41,32,33
1226	Lower	Anterior	43,42,41,31,32,33,34
1227	Upper	Right	11,12,13,14,15
1228	Upper	Left	25,27
1229	Upper	Anterior	13,12,11,21,22
1230	Lower	Right	45,46,47
1231	Upper	Left	22,23
1232	Upper	Left	13,14,15
1235	Upper	Left	11,21,22,23,24,25
1236	Upper	Left	23,24,25,26,27
1237	Upper	Right	14,15,16,17
1238	Upper	Right	13,14,15,16
1239	Lower	Left	35,36,37,38
1240	Upper	Right	23,24,25,26,27
1241	Lower	Right	46,47,48
1242	Lower	Left	36,37,38
1243	Lower	Right	45,46,47,48
1244	Lower	Left	35,36,37,38
1245	Upper	Left	23,24,25,27
1246	Lower	Left	35,36,37,38
1247	Lower	Left	33,34,35,37
1249	Upper	Right	13,14,15,16,17
1250	Upper	Left	22,23,24,25,27
1251	Lower	Anterior	41,31,32,33
1252	Lower	Left	33,34,35,36,37
1253	Lower	Right	44,45,46,47,48
1254	Lower	Right	46,47,48
1255	Lower	Right	46,47,48
1256	Lower	Right	43,44,45,46,47
1257	Lower	Right	43,44,45,46,47
1258	Lower	Right	44,45,46,47
1260	Lower	Left	35,36,37
1261	Upper	Left	23,24,25,26,27
1262	Upper	Right	42,43,45,46,47
1263	Lower	Right	45,46,47,48
1265	Lower	Right	46,47,48
1268	Upper	Left	34,35,36,37
1269	Lower	Left	45,46,47,48
1270	Lower	Right	46,47,48
1271	Lower	Right	44,45,46,47,48
1273	Upper	Left	13,14,15,16,17,18
1275	Lower	Right	43,44,45,46,47
1276	Lower	Left	33,34,35,36,37,38
1277	Lower	Right	45,46,47,48
1278	Lower	Left	33,34,35,36,37
1279	Upper	Right	13,14,15,16,17,18
1280	Lower	Left	34,35,36,37,38
1281	Lower	Left	34,35,36,37,38
1282	Lower	Right	36,37,38
1284	Upper	Left	14,15,16,17,18
1285	Lower	Anterior	43,42,41,31,32,33
1286	Upper	Left	23,24,25,26,27
1287	Lower	Right	45,46,47,48
1288	Upper	Right	13,14,15,16,17,18
1289	Lower	Left	34,35,36,37,38
1290	Lower	Right	44,45,46,47,48
1291	Upper	Left	23,24,25,26,27
1292	Upper	Left	23,24,25,26,27
1293	Upper	Left	23,24,25,27
